# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-19 18:16:52 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15266110 KENAI R BL SKILAK LK OUTLET NR STERLING AK
# -----------------------------------------------------------------------------------
#
# Data provided for site 15266110
#            TS   parameter     Description
#          1491       00065     Gage height, feet
#          1492       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	1491_00065	1491_00065_cd	1492_00060	1492_00060_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	15266110	2018-05-04 00:00	AKDT	6.71	A	1410	A
USGS	15266110	2018-05-04 00:15	AKDT	6.71	A	1410	A
USGS	15266110	2018-05-04 00:30	AKDT	6.71	A	1410	A
USGS	15266110	2018-05-04 00:45	AKDT	6.72	A	1420	A
USGS	15266110	2018-05-04 01:00	AKDT	6.72	A	1420	A
USGS	15266110	2018-05-04 01:15	AKDT	6.72	A	1420	A
USGS	15266110	2018-05-04 01:30	AKDT	6.72	A	1420	A
USGS	15266110	2018-05-04 01:45	AKDT	6.73	A	1440	A
USGS	15266110	2018-05-04 02:00	AKDT	6.72	A	1420	A
USGS	15266110	2018-05-04 02:15	AKDT	6.72	A	1420	A
USGS	15266110	2018-05-04 02:30	AKDT	6.73	A	1440	A
USGS	15266110	2018-05-04 02:45	AKDT	6.73	A	1440	A
USGS	15266110	2018-05-04 03:00	AKDT	6.73	A	1440	A
USGS	15266110	2018-05-04 03:15	AKDT	6.73	A	1440	A
USGS	15266110	2018-05-04 03:30	AKDT	6.73	A	1440	A
USGS	15266110	2018-05-04 03:45	AKDT	6.72	A	1420	A
USGS	15266110	2018-05-04 04:00	AKDT	6.72	A	1420	A
USGS	15266110	2018-05-04 04:15	AKDT	6.72	A	1420	A
USGS	15266110	2018-05-04 04:30	AKDT	6.72	A	1420	A
USGS	15266110	2018-05-04 04:45	AKDT	6.72	A	1420	A
USGS	15266110	2018-05-04 05:00	AKDT	6.72	A	1420	A
USGS	15266110	2018-05-04 05:15	AKDT	6.73	A	1440	A
USGS	15266110	2018-05-04 05:30	AKDT	6.73	A	1440	A
USGS	15266110	2018-05-04 05:45	AKDT	6.74	A	1450	A
USGS	15266110	2018-05-04 06:00	AKDT	6.75	A	1460	A
USGS	15266110	2018-05-04 06:15	AKDT	6.75	A	1460	A
USGS	15266110	2018-05-04 06:30	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-04 06:45	AKDT	6.80	A	1530	A
USGS	15266110	2018-05-04 07:00	AKDT	6.81	A	1550	A
USGS	15266110	2018-05-04 07:15	AKDT	6.82	A	1560	A
USGS	15266110	2018-05-04 07:30	AKDT	6.82	A	1560	A
USGS	15266110	2018-05-04 07:45	AKDT	6.85	A	1610	A
USGS	15266110	2018-05-04 08:00	AKDT	6.85	A	1610	A
USGS	15266110	2018-05-04 08:15	AKDT	6.87	A	1630	A
USGS	15266110	2018-05-04 08:30	AKDT	6.88	A	1650	A
USGS	15266110	2018-05-04 08:45	AKDT	6.87	A	1630	A
USGS	15266110	2018-05-04 09:00	AKDT	6.87	A	1630	A
USGS	15266110	2018-05-04 09:15	AKDT	6.85	A	1610	A
USGS	15266110	2018-05-04 09:30	AKDT	6.84	A	1590	A
USGS	15266110	2018-05-04 09:45	AKDT	6.84	A	1590	A
USGS	15266110	2018-05-04 10:00	AKDT	6.83	A	1580	A
USGS	15266110	2018-05-04 10:15	AKDT	6.82	A	1560	A
USGS	15266110	2018-05-04 10:30	AKDT	6.82	A	1560	A
USGS	15266110	2018-05-04 10:45	AKDT	6.81	A	1550	A
USGS	15266110	2018-05-04 11:00	AKDT	6.81	A	1550	A
USGS	15266110	2018-05-04 11:15	AKDT	6.80	A	1540	A
USGS	15266110	2018-05-04 11:30	AKDT	6.80	A	1540	A
USGS	15266110	2018-05-04 11:45	AKDT	6.80	A	1540	A
USGS	15266110	2018-05-04 12:00	AKDT	6.79	A	1520	A
USGS	15266110	2018-05-04 12:15	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-04 12:30	AKDT	6.77	A	1490	A
USGS	15266110	2018-05-04 12:45	AKDT	6.77	A	1490	A
USGS	15266110	2018-05-04 13:00	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-04 13:15	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 13:30	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 13:45	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 14:00	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 14:15	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 14:30	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 14:45	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-04 15:00	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 15:15	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-04 15:30	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 15:45	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-04 16:00	AKDT	6.76	A	1480	A
